benchmark,split,condition,threshold,correct,count,accuracy,delta_pp,ci95_pp,whole,global_s,local_s,mass,agreement,local_operator_error,length_limited
aime26,calibration6,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),2.0,6,33.33333333333333,-16.666666666666664,"[-50.0, 0.0]",50.60122740550257,48.99744068120933,50.99148300481142,72.74938240929554,3.9933444259567388,0.2655342405616157,1
aime26,calibration6,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),3.0,6,50.0,0.0,"[0.0, 0.0]",50.55545794533269,51.932367729951324,50.219944982050876,75.46301429286218,5.900990099009901,0.29767904984842647,2
aime26,full,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,11.0,30,36.666666666666664,-20.0,"[-36.666666666666664, -3.3333333333333335]",51.36144231334116,49.60947672935712,51.77313018516766,69.94234863371463,2.4105820105820106,0.5001396467515733,6
aime26,full,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",28.818749818062933,35.46716276528976,27.2322178923574,93.41787295180517,5.7354735755186335,0.14683512729667697,2
aime26,full,dense,none / ranking budget,17.0,30,56.666666666666664,0.0,"[0.0, 0.0]",0.0,0.0,0.0,99.99999999250477,100.0,2.870897610837873e-08,6
aime26,full,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),15.0,30,50.0,-6.666666666666667,"[-23.333333333333332, 13.333333333333334]",51.30589972496203,51.42517710361238,51.27643520296559,72.68300919719147,4.875011321438275,0.2573772586398094,7
aime26,full,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),11.0,30,36.666666666666664,-20.0,"[-36.666666666666664, -3.3333333333333335]",51.035903991754864,50.68110430659818,51.124969005702944,72.53673438926938,4.73361924638213,0.26213747053907127,8
aime26,full,jl_gaussian_r1_s50,local: exp(-0.861193); global: exp(-1.23614),14.0,30,46.666666666666664,-10.0,"[-26.666666666666668, 6.666666666666667]",50.042393586529364,51.52783449225312,49.677218525476476,73.07861458253294,3.908380294491911,0.31865316710494507,6
aime26,full,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",50.67194813263354,50.349125206864166,50.74933656191642,73.19164690920297,4.778930641241354,0.2526062870315015,5
aime26,full,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),16.0,30,53.333333333333336,-3.3333333333333335,"[-20.0, 13.333333333333334]",50.205182880857,51.63106708910373,49.847106590657425,73.02591925996451,4.89617240992255,0.2808035372904341,8
aime26,full,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),15.0,30,50.0,-6.666666666666667,"[-26.666666666666668, 10.0]",50.66209872342243,50.66969045007185,50.66023008176459,73.30960248404404,5.197212510851967,0.2526918683730712,5
aime26,full,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),13.0,30,43.333333333333336,-13.333333333333334,"[-30.0, 0.0]",51.01654944287309,50.235264227642276,51.20632272452566,72.22068548325635,4.468933811101346,0.2721621123101969,6
aime26,full,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),15.0,30,50.0,-6.666666666666667,"[-20.0, 6.666666666666667]",50.78100792023631,49.32274597912675,51.14489286416355,72.35211584364323,4.328043502385973,0.26638851197510466,6
aime26,full,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),14.0,30,46.666666666666664,-10.0,"[-23.333333333333332, 3.3333333333333335]",51.391382728343125,52.9351353308233,51.00896795180133,75.05303825408177,4.269293924466338,0.3014064720048783,8
aime26,noncalibration24,blasst_aggressive_s50,local: exp(8.09133)/L; global: exp(7.77928)/L,9.0,24,37.5,-20.833333333333336,"[-41.66666666666667, 0.0]",51.346835655275434,49.621619188605266,51.75279378259805,70.34577947096003,2.5867661368796626,0.4931868724968034,5
aime26,noncalibration24,blasst_original_s50,local: 1 (unattainable); global: 1 (unattainable),13.0,24,54.166666666666664,-4.166666666666666,"[-25.0, 16.666666666666664]",28.97605251471873,35.20787416232316,27.491574877170578,93.41454086881046,6.014040796649493,0.14705900215710838,2
aime26,noncalibration24,dense,none / ranking budget,14.0,24,58.333333333333336,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0,5
aime26,noncalibration24,full_centered_s50,local: exp(-0.740297); global: exp(-1.21186),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 16.666666666666664]",51.46903830931324,51.849038064604905,51.37500798042136,72.59937187255323,5.055021631195378,0.2566403185086136,5
aime26,noncalibration24,jl_gaussian_r16_s50,local: exp(-0.759528); global: exp(-1.23614),9.0,24,37.5,-20.833333333333336,"[-41.66666666666667, 0.0]",51.044619863892606,50.50839535707957,51.17846992601767,72.4809095007496,4.69880594348331,0.26163424146706454,5
aime26,noncalibration24,jl_gaussian_r1_s50,local: exp(-0.861193); global: exp(-1.23614),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 12.5]",50.16446429890408,52.19457784352591,49.66092553931802,73.04322295139093,3.7793285660951725,0.3180500191701677,5
aime26,noncalibration24,jl_gaussian_r24_s50,local: exp(-0.759528); global: exp(-1.23614),14.0,24,58.333333333333336,0.0,"[-16.666666666666664, 16.666666666666664]",50.790708738484206,50.6286806864784,50.829536456999136,73.28651528422,4.848595181746465,0.24994388598118716,4
aime26,noncalibration24,jl_gaussian_r2_s50,local: exp(-0.855113); global: exp(-1.26686),13.0,24,54.166666666666664,-4.166666666666666,"[-25.0, 16.666666666666664]",50.289863911089036,51.78177484558262,49.91655179899061,72.91600562777441,4.77179021422599,0.2804616392254183,5
aime26,noncalibration24,jl_gaussian_r32_s50,local: exp(-0.759528); global: exp(-1.23614),12.0,24,50.0,-8.333333333333332,"[-29.166666666666668, 12.5]",50.708548823676246,51.06525350423654,50.62026517455297,73.40969243720056,4.76147668704303,0.25029508367923986,4
aime26,noncalibration24,jl_gaussian_r4_s50,local: exp(-0.759528); global: exp(-1.23614),11.0,24,45.83333333333333,-12.5,"[-29.166666666666668, 4.166666666666666]",51.170443271664425,50.40911333650085,51.35478821668381,72.10459104781133,4.619501978124273,0.27138245206025174,4
aime26,noncalibration24,jl_gaussian_r8_s50,local: exp(-0.759528); global: exp(-1.26821),13.0,24,54.166666666666664,-4.166666666666666,"[-16.666666666666664, 8.333333333333332]",50.82641594057361,49.4028637406139,51.183882626746744,72.24832435981354,4.418860577330061,0.26661172755751394,5
aime26,noncalibration24,mass_s50,local: exp(-0.0184422); global: exp(-0.04564),11.0,24,45.83333333333333,-12.5,"[-29.166666666666668, 4.166666666666666]",51.61126424639559,53.19454225352113,51.21736609949398,74.943272598755,3.8060435699226987,0.3023982291113767,6
longbench_v2,calibration6,blasst_aggressive_s50,local: exp(8.37258)/L; global: exp(8.36106)/L,2.0,6,33.33333333333333,16.666666666666664,"[0.0, 50.0]",48.94622578490314,49.05425123722225,48.356691614357,75.66199778421878,6.878453038674033,0.3456804105211649,0
longbench_v2,calibration6,blasst_original_s50,"local: exp(0); global: min(1, exp(8.36106)/L)",1.0,6,16.666666666666664,0.0,"[0.0, 0.0]",47.28439658457979,51.76552596595899,22.85334879206212,93.80252768809123,5.795421616922631,0.13284537189299936,0
longbench_v2,calibration6,dense,none / ranking budget,1.0,6,16.666666666666664,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0,0
longbench_v2,calibration6,full_centered_s50,local: exp(-0.731019); global: exp(-5.01796),1.0,6,16.666666666666664,0.0,"[0.0, 0.0]",53.052463510855915,53.71135351486744,49.45882184274245,72.82383727231898,4.438930245381859,0.28251481979669074,0
longbench_v2,calibration6,jl_gaussian_r1_s50,local: exp(-0.72214); global: exp(-5.24292),1.0,6,16.666666666666664,0.0,"[0.0, 0.0]",50.955419543524826,50.81566182684022,51.717076905626136,69.12425517756233,4.284887087434859,0.3764875729779614,0
longbench_v2,calibration6,jl_gaussian_r2_s50,local: exp(-0.72214); global: exp(-5.25267),2.0,6,33.33333333333333,16.666666666666664,"[0.0, 50.0]",50.77646930673896,50.688137791645616,51.25758972903958,69.92770539838664,4.776887871853547,0.3308717906394522,0
longbench_v2,calibration6,jl_gaussian_r32_s50,local: exp(-0.72214); global: exp(-5.16173),2.0,6,33.33333333333333,16.666666666666664,"[0.0, 50.0]",50.84841628047228,51.076304736133004,49.6063033076763,71.47117499615824,5.141010575793184,0.29073481335940093,0
longbench_v2,calibration6,jl_gaussian_r8_s50,local: exp(-0.72214); global: exp(-5.16173),2.0,6,33.33333333333333,16.666666666666664,"[0.0, 50.0]",49.602020330636115,49.56772034731695,49.78904126513467,71.90439124922237,5.023461219983439,0.29537760455860557,0
longbench_v2,calibration6,mass_s50,local: exp(-0.0152636); global: exp(-1.3682),2.0,6,33.33333333333333,16.666666666666664,"[0.0, 50.0]",50.71324957370216,50.945694079398095,49.44598896434635,74.78664071960043,4.229871645274212,0.30645770110990567,0
longbench_v2,full,blasst_aggressive_s50,local: exp(8.37258)/L; global: exp(8.36106)/L,42.0,100,42.0,8.0,"[1.0, 15.0]",46.53311639846086,46.19258023639159,48.30342541254669,75.87751146349365,4.766746780057928,0.33995565710975406,0
longbench_v2,full,blasst_original_s50,"local: exp(0); global: min(1, exp(8.36106)/L)",40.0,100,40.0,6.0,"[1.0, 12.0]",43.18999004475475,47.013387986587524,23.19769566108177,93.89466615961442,7.161038793658976,0.1297860922148916,0
longbench_v2,full,dense,none / ranking budget,34.0,100,34.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0,0
longbench_v2,full,full_centered_s50,local: exp(-0.731019); global: exp(-5.01796),42.0,100,42.0,8.0,"[0.0, 16.0]",49.30686558922349,49.19047763571744,49.90501948138763,72.42972794130222,5.26804260396871,0.2772244538554674,0
longbench_v2,full,jl_gaussian_r1_s50,local: exp(-0.72214); global: exp(-5.24292),39.0,100,39.0,5.0,"[-3.0, 13.0]",48.4171974370463,47.55884913383517,52.91498883721438,68.36564361326121,4.721649773590725,0.36855854253468345,1
longbench_v2,full,jl_gaussian_r2_s50,local: exp(-0.72214); global: exp(-5.25267),43.0,100,43.0,9.0,"[2.0, 16.0]",47.77703773727029,46.895356772626094,52.3754608536266,69.36858559710191,3.9663011500401177,0.3235492302607738,1
longbench_v2,full,jl_gaussian_r32_s50,local: exp(-0.72214); global: exp(-5.16173),38.0,100,38.0,4.0,"[-5.0, 13.0]",46.567490945523666,45.86831961391236,50.19087845221073,72.05616487592107,5.260834375689795,0.282485249957195,0
longbench_v2,full,jl_gaussian_r8_s50,local: exp(-0.72214); global: exp(-5.16173),40.0,100,40.0,6.0,"[-2.0, 14.000000000000002]",46.321220435211345,45.51085718203322,50.559152478997426,71.5069340518373,6.341984375457178,0.29344214765300547,0
longbench_v2,full,mass_s50,local: exp(-0.0152636); global: exp(-1.3682),37.0,100,37.0,3.0,"[-5.0, 11.0]",48.620642479474654,48.22194714348554,50.69397174325179,74.43987102315891,4.7522588166715245,0.3158287351468153,0
longbench_v2,noncalibration94,blasst_aggressive_s50,local: exp(8.37258)/L; global: exp(8.36106)/L,40.0,94,42.5531914893617,7.446808510638298,"[0.0, 14.893617021276595]",46.3974087663784,46.03033564542322,48.300556355061595,75.88911959611147,4.642018013314188,0.339646984537517,0
longbench_v2,noncalibration94,blasst_original_s50,"local: exp(0); global: min(1, exp(8.36106)/L)",39.0,94,41.48936170212766,6.382978723404255,"[1.0638297872340425, 12.76595744680851]",42.953259939637114,46.736706891539576,23.21687845469839,93.89979898770841,7.241432251241023,0.12961343679297718,0
longbench_v2,noncalibration94,dense,none / ranking budget,33.0,94,35.1063829787234,0.0,"[0.0, 0.0]",0.0,0.0,0.0,100.0,100.0,0.0,0
longbench_v2,noncalibration94,full_centered_s50,local: exp(-0.731019); global: exp(-5.01796),41.0,94,43.61702127659575,8.51063829787234,"[0.0, 17.02127659574468]",49.09924625260541,48.9373732420013,49.92848263707397,72.40900383209546,5.314844212033492,0.276945951210143,0
longbench_v2,noncalibration94,jl_gaussian_r1_s50,local: exp(-0.72214); global: exp(-5.24292),38.0,94,40.42553191489361,5.319148936170213,"[-3.1914893617021276, 13.829787234042554]",48.28433598121188,47.387259633942215,52.9755500854446,68.32729149233772,4.743874950277708,0.36817768449848015,1
longbench_v2,noncalibration94,jl_gaussian_r2_s50,local: exp(-0.72214); global: exp(-5.25267),41.0,94,43.61702127659575,8.51063829787234,"[2.127659574468085, 15.957446808510639]",47.65762072787167,46.74327382301367,52.41830930772535,69.34715430809719,3.9265473317995623,0.323274254550245,1
longbench_v2,noncalibration94,jl_gaussian_r32_s50,local: exp(-0.72214); global: exp(-5.16173),36.0,94,38.297872340425535,3.1914893617021276,"[-6.382978723404255, 11.702127659574469]",46.28144143222958,45.51734509602791,50.228212167108424,72.09352507775876,5.267153103747424,0.2819553420218411,0
longbench_v2,noncalibration94,jl_gaussian_r8_s50,local: exp(-0.72214); global: exp(-5.16173),38.0,94,40.42553191489361,5.319148936170213,"[-2.127659574468085, 13.829787234042554]",46.14650935789291,45.29331557423161,50.59867390739227,71.48653689895379,6.415782237258809,0.29334358552480194,0
longbench_v2,noncalibration94,mass_s50,local: exp(-0.0152636); global: exp(-1.3682),35.0,94,37.234042553191486,2.127659574468085,"[-5.319148936170213, 9.574468085106384]",48.52761700475501,48.09991609865074,50.74719428575566,74.42508238567139,4.779727573935452,0.3162103363612155,0
