tau,pack_m,grouping,leftover_rows,grouping_keys
16,64,kv-head,24,5550
16,64,kv-head,25,5560
16,64,kv-head,26,5373
16,64,kv-head,27,5371
16,64,kv-head,28,5388
16,64,kv-head,29,5239
16,64,kv-head,30,5101
16,64,kv-head,31,5143
16,64,kv-head,32,4973
16,64,kv-head,33,4871
16,64,kv-head,34,4726
16,64,kv-head,35,4666
16,64,kv-head,36,4751
16,64,kv-head,37,4585
16,64,kv-head,38,4648
16,64,kv-head,39,4487
16,64,kv-head,40,4538
16,64,kv-head,41,4397
16,64,kv-head,42,4396
16,64,kv-head,43,4425
16,64,kv-head,44,4376
16,64,kv-head,45,4212
16,64,kv-head,46,4132
16,64,kv-head,47,3992
16,64,kv-head,48,4025
16,64,kv-head,49,3933
16,64,kv-head,50,3855
16,64,kv-head,51,3885
16,64,kv-head,52,3858
16,64,kv-head,53,3698
16,64,kv-head,54,3861
16,64,kv-head,55,3724
16,64,kv-head,56,3691
16,64,kv-head,57,3530
16,64,kv-head,58,3459
16,64,kv-head,59,3459
16,64,kv-head,60,3384
16,64,kv-head,61,3223
16,64,kv-head,62,3400
16,64,kv-head,63,3185
16,64,q-head,0,3258
16,64,q-head,1,6567
16,64,q-head,2,6515
16,64,q-head,3,6052
16,64,q-head,4,6048
16,64,q-head,5,6054
16,64,q-head,6,6099
16,64,q-head,7,6078
16,64,q-head,8,6318
16,64,q-head,9,6034
16,64,q-head,10,6233
16,64,q-head,11,6442
16,64,q-head,12,6432
16,64,q-head,13,6558
16,64,q-head,14,6712
16,64,q-head,15,6666
16,64,q-head,16,7024
16,64,q-head,17,5672
16,64,q-head,18,5609
16,64,q-head,19,5556
16,64,q-head,20,5458
16,64,q-head,21,5511
16,64,q-head,22,5479
16,64,q-head,23,5449
16,64,q-head,24,5550
16,64,q-head,25,5560
16,64,q-head,26,5373
16,64,q-head,27,5371
16,64,q-head,28,5388
16,64,q-head,29,5239
16,64,q-head,30,5101
16,64,q-head,31,5143
16,64,q-head,32,4973
16,64,q-head,33,4871
16,64,q-head,34,4726
16,64,q-head,35,4666
16,64,q-head,36,4751
16,64,q-head,37,4585
16,64,q-head,38,4648
16,64,q-head,39,4487
16,64,q-head,40,4538
16,64,q-head,41,4397
16,64,q-head,42,4396
16,64,q-head,43,4425
16,64,q-head,44,4376
16,64,q-head,45,4212
16,64,q-head,46,4132
16,64,q-head,47,3992
16,64,q-head,48,4025
16,64,q-head,49,3933
16,64,q-head,50,3855
16,64,q-head,51,3885
16,64,q-head,52,3858
16,64,q-head,53,3698
16,64,q-head,54,3861
16,64,q-head,55,3724
16,64,q-head,56,3691
16,64,q-head,57,3530
16,64,q-head,58,3459
16,64,q-head,59,3459
16,64,q-head,60,3384
16,64,q-head,61,3223
16,64,q-head,62,3400
16,64,q-head,63,3185
16,128,kv-head,0,758
16,128,kv-head,1,4163
16,128,kv-head,2,4150
16,128,kv-head,3,3787
16,128,kv-head,4,3817
16,128,kv-head,5,3781
16,128,kv-head,6,3838
16,128,kv-head,7,3891
16,128,kv-head,8,4189
16,128,kv-head,9,4003
16,128,kv-head,10,4211
16,128,kv-head,11,4339
16,128,kv-head,12,4472
16,128,kv-head,13,4552
16,128,kv-head,14,4801
16,128,kv-head,15,4844
16,128,kv-head,16,5151
16,128,kv-head,17,3844
16,128,kv-head,18,3822
16,128,kv-head,19,3809
16,128,kv-head,20,3702
16,128,kv-head,21,3764
16,128,kv-head,22,3835
16,128,kv-head,23,3800
16,128,kv-head,24,3902
16,128,kv-head,25,3953
16,128,kv-head,26,3802
16,128,kv-head,27,3877
16,128,kv-head,28,3842
16,128,kv-head,29,3775
16,128,kv-head,30,3614
16,128,kv-head,31,3678
16,128,kv-head,32,3534
16,128,kv-head,33,3441
16,128,kv-head,34,3421
16,128,kv-head,35,3355
16,128,kv-head,36,3426
16,128,kv-head,37,3341
16,128,kv-head,38,3352
16,128,kv-head,39,3287
16,128,kv-head,40,3313
16,128,kv-head,41,3255
16,128,kv-head,42,3288
16,128,kv-head,43,3281
16,128,kv-head,44,3232
16,128,kv-head,45,3178
16,128,kv-head,46,3110
16,128,kv-head,47,2968
16,128,kv-head,48,3036
16,128,kv-head,49,2977
